,Noise,Image Number,Leaf Area,Standardized Frechet Distance,P,R,Reflected Image Number,Total Number of Pixels,Dataset
0,0mm,128,3.09,0.02775069963696918,1.0,0.8294712712413415,128,1258044,No pillars
1,0mm,128,0.52,0.07276312340319817,1.0,0.8432055749128919,128,196346,No pillars
2,0mm,128,3.09,0.035042636865986874,1.0,0.8189079927913886,128,1186515,No pillars
3,0mm,128,1.57,0.03951043190242484,1.0,0.8106022896963664,128,575738,No pillars
4,0mm,128,0.68,0.06240673201359307,1.0,0.7905637390630191,128,259852,No pillars
5,0mm,128,1.57,0.04324343271294258,1.0,0.7668366581670917,128,1244419,No pillars
6,0mm,128,3.09,0.05302068737232293,1.0,0.688594637742405,128,2062216,No pillars
7,0mm,128,5.61,0.06670021316283208,1.0,0.5917489937797292,128,595015,No pillars
8,0mm,128,3.09,0.035543339057474,1.0,0.7135873949978644,128,1296365,No pillars
9,0mm,128,0.52,0.11925878000109066,1.0,0.8687435098650051,128,220840,No pillars
10,0mm,128,3.09,0.03194658287953848,1.0,0.6814635800898838,128,1246560,No pillars
11,0mm,128,1.57,0.04998143387900165,1.0,0.6383640277445587,128,566711,No pillars
12,0mm,128,0.68,0.05283464123713766,1.0,0.8552479815455594,128,283254,No pillars
13,0mm,128,1.57,0.03591632892710166,1.0,0.7069234493517672,128,1250021,No pillars
14,0mm,128,3.09,0.045778855057740854,1.0,0.7365535248041776,128,2106988,No pillars
15,0mm,128,5.61,0.039604760062850526,0.9900199600798403,0.7220893482531818,128,632262,No pillars
16,0mm,128,3.09,0.03112142252928091,1.0,0.817434758467518,128,1246503,No pillars
17,0mm,128,0.52,0.059266250459371964,1.0,0.7595684738541881,128,206442,No pillars
18,0mm,128,3.09,0.04250263643048752,1.0,0.8152385905603953,128,1260325,No pillars
19,0mm,128,1.57,0.058641000405619995,1.0,0.8028284244974287,128,575560,No pillars
20,0mm,128,0.68,0.046978055073239385,1.0,0.8074850520410423,128,259593,No pillars
21,0mm,128,1.57,0.03732112674208474,1.0,0.7332358959368606,128,981525,No pillars
22,0mm,128,3.09,0.04820444583790125,1.0,0.6031398548911684,128,2042653,No pillars
23,0mm,128,5.61,0.04404207903221876,0.9940119760479041,0.5376682753365507,128,600290,No pillars
24,0mm,128,3.09,0.03709766672999403,1.0,0.8610665408211421,126,1109286,Thin pillars
25,0mm,128,0.52,0.08707903963789805,1.0,0.8096707818930041,128,195727,Thin pillars
26,0mm,128,3.09,0.047193759210106156,1.0,0.7883401411065726,128,1073500,Thin pillars
27,0mm,128,1.57,0.059126563100120974,1.0,0.8066135734072022,127,562773,Thin pillars
28,0mm,128,0.68,0.06614857638414312,1.0,0.7631436314363144,128,258910,Thin pillars
29,0mm,128,1.57,0.03496117809056577,1.0,0.771610696517413,120,1002260,Thin pillars
30,0mm,128,3.09,0.03709476254638223,1.0,0.693645530215876,127,1663440,Thin pillars
31,0mm,128,5.61,0.03674966600661032,1.0,0.6038701955047213,124,577687,Thin pillars
32,0mm,128,3.09,0.02943087382255336,1.0,0.7295814116410765,126,1175533,Thin pillars
33,0mm,128,0.52,0.09150874563826107,1.0,0.8714581178903826,128,220839,Thin pillars
34,0mm,128,3.09,0.0420849059962658,1.0,0.6970786953774365,126,1164207,Thin pillars
35,0mm,128,1.57,0.05350805143550438,1.0,0.6602466398780656,126,532986,Thin pillars
36,0mm,128,0.68,0.05675253462827579,1.0,0.8267794221282594,123,272630,Thin pillars
37,0mm,128,1.57,0.022793318515687163,1.0,0.7006990542207602,123,1043200,Thin pillars
38,0mm,128,3.09,0.03419166160398171,1.0,0.7573278800272665,128,1737970,Thin pillars
39,0mm,128,5.61,0.029580251659008534,0.9900199600798403,0.7362961895843838,124,602350,Thin pillars
40,0mm,128,3.09,0.0319696725826536,1.0,0.8002119766825649,127,1118935,Thin pillars
41,0mm,128,0.52,0.05137398924097507,1.0,0.7392526568392184,128,204983,Thin pillars
42,0mm,128,3.09,0.07429324602435694,0.9900199600798403,0.7775571600481348,125,1108252,Thin pillars
43,0mm,128,1.57,0.055705194729592455,1.0,0.8409068010075567,127,563012,Thin pillars
44,0mm,128,0.68,0.041968769668772894,1.0,0.8186303387334315,128,259576,Thin pillars
45,0mm,128,1.57,0.043918849922650535,1.0,0.7649363369245837,118,793833,Thin pillars
46,0mm,128,3.09,0.058903260290959665,1.0,0.602139534883721,126,1629354,Thin pillars
47,0mm,128,5.61,0.04302797460652608,1.0,0.5291862567811935,124,577274,Thin pillars
48,0mm,128,3.09,0.023383088058823248,1.0,0.814324437030859,117,1006996,Thick pillars
49,0mm,128,0.52,0.07795579977070383,0.9960079840319361,0.8119128801057686,128,194811,Thick pillars
50,0mm,128,3.09,0.061916676357668676,1.0,0.788273837963279,118,980439,Thick pillars
51,0mm,128,1.57,0.0380225082275976,1.0,0.7949523980599964,120,557537,Thick pillars
52,0mm,128,0.68,0.060294647171656925,1.0,0.7803950092318022,128,257694,Thick pillars
53,0mm,128,1.57,0.0428329324645461,1.0,0.7658926532165968,114,859393,Thick pillars
54,0mm,128,3.09,0.05400211676099635,1.0,0.7112164038885712,116,1417546,Thick pillars
55,0mm,128,5.61,0.07065863843806956,1.0,0.5840938722294654,120,566910,Thick pillars
56,0mm,128,3.09,0.024892485596762083,1.0,0.7483920581655481,121,1093872,Thick pillars
57,0mm,128,0.52,0.09648528003762628,1.0,0.8746650175221604,128,220839,Thick pillars
58,0mm,128,3.09,0.03389445910412732,0.9920159680638723,0.717422056243988,123,1105031,Thick pillars
59,0mm,128,1.57,0.06541746790291526,1.0,0.6329265553642285,120,511630,Thick pillars
60,0mm,128,0.68,0.047565923309450954,1.0,0.861608154020385,120,269647,Thick pillars
61,0mm,128,1.57,0.027706018942464286,0.9900199600798403,0.7038279025624802,115,917994,Thick pillars
62,0mm,128,3.09,0.040104276174474776,1.0,0.7398874899544602,120,1505267,Thick pillars
63,0mm,128,5.61,0.0381398886315378,1.0,0.713052310817674,120,585128,Thick pillars
64,0mm,128,3.09,0.04678624456683826,1.0,0.7656095520571906,117,1025702,Thick pillars
65,0mm,128,0.52,0.06671090197370262,1.0,0.7171994115286879,128,203747,Thick pillars
66,0mm,128,3.09,0.040936247305501036,1.0,0.7684499314128944,118,992228,Thick pillars
67,0mm,128,1.57,0.061504625730183914,1.0,0.7971935398464389,120,556951,Thick pillars
68,0mm,128,0.68,0.04538224441145838,1.0,0.8122749099639855,128,259487,Thick pillars
69,0mm,128,1.57,0.03526544535100473,1.0,0.7432458203547136,111,669210,Thick pillars
70,0mm,128,3.09,0.04648569158183829,1.0,0.6149812734082397,116,1383574,Thick pillars
71,0mm,128,5.61,0.03480166758171241,1.0,0.49383096853793956,120,563452,Thick pillars
72,0mm,64,3.09,0.028756149969738652,1.0,0.8788108472292404,64,628840,No pillars
73,0mm,64,0.52,0.07426075156797199,1.0,0.9095623987034036,64,98085,No pillars
74,0mm,64,3.09,0.02811680950387611,1.0,0.8440902360421566,64,592987,No pillars
75,0mm,64,1.57,0.03502046259185549,1.0,0.874460120932911,64,287888,No pillars
76,0mm,64,0.68,0.07020958296244187,1.0,0.7845117845117845,64,129766,No pillars
77,0mm,64,1.57,0.03900842844891514,0.9960079840319361,0.8042048239391203,64,622339,No pillars
78,0mm,64,3.09,0.03332544538108759,1.0,0.7923988232487875,64,1030880,No pillars
79,0mm,64,5.61,0.06091471420213078,1.0,0.6649639926310501,64,297128,No pillars
80,0mm,64,3.09,0.02951374508891563,1.0,0.7655013446023818,64,646154,No pillars
81,0mm,64,0.52,0.07588043928009762,1.0,0.9141716566866267,64,110300,No pillars
82,0mm,64,3.09,0.03302374966102022,1.0,0.7479198984628402,64,623202,No pillars
83,0mm,64,1.57,0.04971141139826557,1.0,0.7095026546754795,64,282974,No pillars
84,0mm,64,0.68,0.050358994524106214,1.0,0.8786932500600528,64,141597,No pillars
85,0mm,64,1.57,0.03468833353638261,1.0,0.7108870178186802,64,625383,No pillars
86,0mm,64,3.09,0.046732026947307014,0.996,0.8374159262642199,64,1053162,No pillars
87,0mm,64,5.61,0.025345667816661553,1.0,0.7433347744631791,64,316035,No pillars
88,0mm,64,3.09,0.03269772443581064,1.0,0.8299851803062737,64,622490,No pillars
89,0mm,64,0.52,0.043262391602253765,1.0,0.8359050445103857,64,103051,No pillars
90,0mm,64,3.09,0.028210433420635932,1.0,0.8183173112750578,64,630042,No pillars
91,0mm,64,1.57,0.0352151620408717,0.994,0.8947461212976022,64,287378,No pillars
92,0mm,64,0.68,0.05136282214365824,1.0,0.8201899965663271,64,129675,No pillars
93,0mm,64,1.57,0.03475717931631052,1.0,0.7806075483277078,64,491064,No pillars
94,0mm,64,3.09,0.04100604883840772,1.0,0.717713236138216,64,1022205,No pillars
95,0mm,64,5.61,0.040075512209301375,1.0,0.6493506493506493,64,299836,No pillars
96,0mm,64,3.09,0.03581190110117891,1.0,0.8590919513872964,64,552701,Thin pillars
97,0mm,64,0.52,0.06622197679862307,1.0,0.824058816073013,64,97693,Thin pillars
98,0mm,64,3.09,0.033598961364512674,1.0,0.8499534016775396,64,536358,Thin pillars
99,0mm,64,1.57,0.034424161243756,1.0,0.873215785054576,64,281151,Thin pillars
100,0mm,64,0.68,0.07597247814964221,1.0,0.7854682813020776,64,129293,Thin pillars
101,0mm,64,1.57,0.043749557963551615,0.9960079840319361,0.803954802259887,59,505411,Thin pillars
102,0mm,64,3.09,0.02904632364068714,1.0,0.7479224376731302,63,831958,Thin pillars
103,0mm,64,5.61,0.04389871613611532,1.0,0.6445419637959408,62,288269,Thin pillars
104,0mm,64,3.09,0.03225047089203159,1.0,0.8159958720330237,63,583760,Thin pillars
105,0mm,64,0.52,0.09124751475917241,1.0,0.9159169550173011,64,110298,Thin pillars
106,0mm,64,3.09,0.03532069901481526,1.0,0.750500120028807,63,577367,Thin pillars
107,0mm,64,1.57,0.06828604174891076,1.0,0.6802965088474414,64,267377,Thin pillars
108,0mm,64,0.68,0.04946646379353772,1.0,0.8453748301840188,63,136059,Thin pillars
109,0mm,64,1.57,0.02635452545270332,1.0,0.7208748375920312,62,517448,Thin pillars
110,0mm,64,3.09,0.03595329356234558,1.0,0.7991234477720964,64,867180,Thin pillars
111,0mm,64,5.61,0.03619512483087312,0.9960079840319361,0.7784134248665141,62,300440,Thin pillars
112,0mm,64,3.09,0.034118280497482105,1.0,0.8317430025445293,64,558541,Thin pillars
113,0mm,64,0.52,0.055439152299131496,1.0,0.7714846488153652,64,102204,Thin pillars
114,0mm,64,3.09,0.04646504546099126,0.9960079840319361,0.8538205980066446,64,554718,Thin pillars
115,0mm,64,1.57,0.05952348674911016,0.998,0.8719874257771568,64,280684,Thin pillars
116,0mm,64,0.68,0.05158262927599513,1.0,0.8141011108592155,64,129674,Thin pillars
117,0mm,64,1.57,0.033720178854449334,1.0,0.7657283002772446,58,405039,Thin pillars
118,0mm,64,3.09,0.05858460129281149,1.0,0.7047636632200887,62,816912,Thin pillars
119,0mm,64,5.61,0.04466765428585589,1.0,0.5709240729841083,62,287909,Thin pillars
120,0mm,64,3.09,0.03096325577880209,0.996,0.8422123566407695,60,497245,Thick pillars
121,0mm,64,0.52,0.06205241771822571,1.0,0.8152230971128609,64,97365,Thick pillars
122,0mm,64,3.09,0.03812178205717075,1.0,0.8610337356855463,61,484428,Thick pillars
123,0mm,64,1.57,0.03518075109409226,1.0,0.8326580226904376,60,278474,Thick pillars
124,0mm,64,0.68,0.061955849247089884,1.0,0.7366838487972509,64,128513,Thick pillars
125,0mm,64,1.57,0.03736873524354292,1.0,0.7904097253489419,59,428691,Thick pillars
126,0mm,64,3.09,0.02091948651745572,1.0,0.8,59,705696,Thick pillars
127,0mm,64,5.61,0.04088797471245229,1.0,0.6661786237188873,60,282841,Thick pillars
128,0mm,64,3.09,0.03741523221475096,1.0,0.8182656826568265,61,542095,Thick pillars
129,0mm,64,0.52,0.08123088708411423,1.0,0.9072026800670017,64,110298,Thick pillars
130,0mm,64,3.09,0.042726462235672245,1.0,0.7561443581544084,62,552484,Thick pillars
131,0mm,64,1.57,0.07374118934573191,1.0,0.7036046184173472,60,253520,Thick pillars
132,0mm,64,0.68,0.03777073772292955,1.0,0.8835817093363902,60,133610,Thick pillars
133,0mm,64,1.57,0.03526106601961084,1.0,0.7188843695525857,59,456105,Thick pillars
134,0mm,64,3.09,0.028691452913486917,1.0,0.8366546880104541,60,750260,Thick pillars
135,0mm,64,5.61,0.0253835054670594,0.9920159680638723,0.7751736111111112,60,293901,Thick pillars
136,0mm,64,3.09,0.0510716373973037,1.0,0.8300990636449993,60,506764,Thick pillars
137,0mm,64,0.52,0.0542329818798385,1.0,0.7831915813752343,64,101937,Thick pillars
138,0mm,64,3.09,0.04832339034447437,1.0,0.8204346673734428,62,486680,Thick pillars
139,0mm,64,1.57,0.060848477037675396,1.0,0.840782122905028,60,277434,Thick pillars
140,0mm,64,0.68,0.049000402007260205,1.0,0.8344208809135399,64,129620,Thick pillars
141,0mm,64,1.57,0.03502771158168979,1.0,0.7946607079854169,56,330922,Thick pillars
142,0mm,64,3.09,0.042802193860138046,1.0,0.7360931435963778,59,690182,Thick pillars
143,0mm,64,5.61,0.035212672343243594,1.0,0.6593611960584438,60,282233,Thick pillars
144,0mm,32,3.09,0.023103846521711924,1.0,0.9020660484789328,32,314575,No pillars
145,0mm,32,0.52,0.06403858908906619,1.0,0.8970859839934332,32,48923,No pillars
146,0mm,32,3.09,0.02640405494513287,1.0,0.8825640189202414,32,297168,No pillars
147,0mm,32,1.57,0.036789476345146684,1.0,0.8477450980392157,32,144677,No pillars
148,0mm,32,0.68,0.06009600337150779,1.0,0.8199368199368199,32,64749,No pillars
149,0mm,32,1.57,0.02374959918436765,1.0,0.828449158061215,32,310369,No pillars
150,0mm,32,3.09,0.033286106055251,1.0,0.8347474118471239,32,517420,No pillars
151,0mm,32,5.61,0.03354108541641316,1.0,0.7252699470976157,32,148368,No pillars
152,0mm,32,3.09,0.035703342331360424,1.0,0.8402470642061919,32,326451,No pillars
153,0mm,32,0.52,0.0925594525370972,1.0,0.9082625482625483,32,55322,No pillars
154,0mm,32,3.09,0.02792625269738994,1.0,0.8464301422078874,32,312459,No pillars
155,0mm,32,1.57,0.048827923142752694,1.0,0.7338983050847457,32,140483,No pillars
156,0mm,32,0.68,0.05602868617559877,1.0,0.8811921472891873,32,70751,No pillars
157,0mm,32,1.57,0.05338184424508679,1.0,0.8572902983674235,32,312786,No pillars
158,0mm,32,3.09,0.024850729893363326,1.0,0.8716803572852699,32,525303,No pillars
159,0mm,32,5.61,0.042426802159303195,1.0,0.8129055258467023,32,157669,No pillars
160,0mm,32,3.09,0.027807487038231254,1.0,0.8871970663265306,32,311677,No pillars
161,0mm,32,0.52,0.050530387590856166,1.0,0.855980751604033,32,51381,No pillars
162,0mm,32,3.09,0.017387539542277404,1.0,0.8903033389103077,32,315412,No pillars
163,0mm,32,1.57,0.03513647641432509,1.0,0.840769165893565,32,144045,No pillars
164,0mm,32,0.68,0.08728195185800054,1.0,0.9181975362005619,32,64676,No pillars
165,0mm,32,1.57,0.03296195599888725,1.0,0.8497255858524262,32,246796,No pillars
166,0mm,32,3.09,0.05339821955377059,0.994,0.7857324193957858,32,512989,No pillars
167,0mm,32,5.61,0.03832673609674052,0.9900199600798403,0.7605323726608626,32,149917,No pillars
168,0mm,32,3.09,0.03300244414195622,1.0,0.8267733801118299,32,259941,Thin pillars
169,0mm,32,0.52,0.06261480566576447,1.0,0.805920183243767,32,48531,Thin pillars
170,0mm,32,3.09,0.03231682654871219,1.0,0.7970615243342516,32,264202,Thin pillars
171,0mm,32,1.57,0.034299063640279244,1.0,0.8702635448478679,32,138880,Thin pillars
172,0mm,32,0.68,0.06503485351568193,1.0,0.8224479075468394,32,64457,Thin pillars
173,0mm,32,1.57,0.02946800793888804,1.0,0.8209383323089531,27,217779,Thin pillars
174,0mm,32,3.09,0.03484150422091199,1.0,0.6983298538622129,31,391175,Thin pillars
175,0mm,32,5.61,0.04692729724359378,1.0,0.7406590376395974,30,140737,Thin pillars
176,0mm,32,3.09,0.026726179395157364,1.0,0.8158439255099025,31,278981,Thin pillars
177,0mm,32,0.52,0.09531115088518038,1.0,0.9182106493072942,32,55320,Thin pillars
178,0mm,32,3.09,0.03432988327665476,1.0,0.805679012345679,31,278781,Thin pillars
179,0mm,32,1.57,0.05708393787563349,1.0,0.6892799259087752,32,127689,Thin pillars
180,0mm,32,0.68,0.042169184723554014,1.0,0.9208333333333333,31,65857,Thin pillars
181,0mm,32,1.57,0.02322494466322712,1.0,0.8536873156342183,30,232475,Thin pillars
182,0mm,32,3.09,0.030999528517214492,1.0,0.6085616815230549,32,417800,Thin pillars
183,0mm,32,5.61,0.034335443130223395,1.0,0.7463387978142076,30,143469,Thin pillars
184,0mm,32,3.09,0.030057767787529426,1.0,0.8546371661125759,32,266602,Thin pillars
185,0mm,32,0.52,0.0565916534697547,1.0,0.8137055229423745,32,50533,Thin pillars
186,0mm,32,3.09,0.026996894311810356,1.0,0.7917053543794491,32,275915,Thin pillars
187,0mm,32,1.57,0.04814417400327659,1.0,0.8569283569283569,32,138336,Thin pillars
188,0mm,32,0.68,0.09140991972023947,1.0,0.9093007915567283,32,64676,Thin pillars
189,0mm,32,1.57,0.034487329440759835,1.0,0.8730585075324069,26,180597,Thin pillars
190,0mm,32,3.09,0.03818173948274909,1.0,0.6774922338322508,30,384563,Thin pillars
191,0mm,32,5.61,0.033318353399826015,1.0,0.6492154730464502,30,139062,Thin pillars
192,0mm,32,3.09,0.04054361256599184,1.0,0.8504148365056124,28,230724,Thick pillars
193,0mm,32,0.52,0.08494917896016384,1.0,0.8244956257811105,32,48203,Thick pillars
194,0mm,32,3.09,0.028955155844016325,1.0,0.8084507042253521,29,233985,Thick pillars
195,0mm,32,1.57,0.037863475071664626,1.0,0.8754748338081672,28,137571,Thick pillars
196,0mm,32,0.68,0.07663703790769014,1.0,0.837733822608073,32,63833,Thick pillars
197,0mm,32,1.57,0.025122647696928204,1.0,0.8393560733986266,27,191080,Thick pillars
198,0mm,32,3.09,0.02776883406955706,0.998,0.6777100450569838,27,346264,Thick pillars
199,0mm,32,5.61,0.04628222399007862,0.9880239520958084,0.6269492203118753,28,138360,Thick pillars
200,0mm,32,3.09,0.03231556372704733,1.0,0.8394528437724982,29,257972,Thick pillars
201,0mm,32,0.52,0.08449047838063395,1.0,0.924249797242498,32,55320,Thick pillars
202,0mm,32,3.09,0.04476492310360265,1.0,0.8395334174022698,30,267725,Thick pillars
203,0mm,32,1.57,0.10711402055652847,1.0,0.7114093959731543,28,121718,Thick pillars
204,0mm,32,0.68,0.05087378621346848,1.0,0.9262759924385633,28,65493,Thick pillars
205,0mm,32,1.57,0.03675075965209627,1.0,0.8397576382622147,27,205950,Thick pillars
206,0mm,32,3.09,0.026319764373963106,1.0,0.7506021458287716,28,357152,Thick pillars
207,0mm,32,5.61,0.02798154495207931,1.0,0.7153846153846154,28,141650,Thick pillars
208,0mm,32,3.09,0.04233591864518198,1.0,0.892790086368757,28,237992,Thick pillars
209,0mm,32,0.52,0.05011953774608353,1.0,0.835276034328167,32,50266,Thick pillars
210,0mm,32,3.09,0.02796723174011376,1.0,0.8597299967072769,30,234636,Thick pillars
211,0mm,32,1.57,0.04371257772721874,1.0,0.8534175410003056,28,136980,Thick pillars
212,0mm,32,0.68,0.06674900114082266,1.0,0.9070216877818338,32,64644,Thick pillars
213,0mm,32,1.57,0.03777033622392459,1.0,0.8786473648495815,24,155608,Thick pillars
214,0mm,32,3.09,0.043911027039568624,0.902,0.7177508269018743,27,339445,Thick pillars
215,0mm,32,5.61,0.04131565822137546,0.9920159680638723,0.6278236914600551,28,137067,Thick pillars
216,1mm,128,3.09,0.04330836039672406,1.0,0.8309723889555822,128,1258044,No pillars
